Country name,Country,Sector,Source,Gas,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,AFG,Cement,GCP,CO2,0.018012,0.021806,0.029074,0.05088,0.061783,0.083589,0.087223,0.065417,0.047105,0.05088,0.04735,0.043234,0.046427,0.067106,0.070301,0.069417,0.079243,0.064863,0.057598,0.063666,0.023284,0.032879,0.039077,0.0064498,0.047963,0.031652,0.037565,0.043334,0.042944,0.042503,0.045766,0.045766,0.045766,0.046991,0.046991,0.046991,0.0474,0.0474,0.0474,0.0474,0.010216,0.006538,0.011033,0.009807,0.009807,0.006211,0.012177,0.011605,0.015242,0.012872,0.014547,0.014588,0.02893,0.03555,0.028644,0.041189,0.076126,0.044785,0.05688,0.038329,0.060674,0.012259
Afghanistan,AFG,Coal,GCP,CO2,0.12712,0.17587,0.29678,0.26381,0.30045,0.38106,0.42869,0.39938,0.33243,0.36274,0.43697,0.35907,0.19053,0.31074,0.30469,0.39869,0.42502,0.45067,0.57623,0.35174,0.31576,0.33342,0.38472,0.38472,0.39256,0.39979,0.42502,0.44282,0.3664,0.33709,0.27846,0.24963,0.021984,0.01832,0.014693,0.014656,0.007328,0.003664,0.003664,0.003664,0.003664,0.069616,0.055109,0.091813,0.0916,0.10626,0.16094,0.74746,1.0781,1.5141,2.246,4.1806,3.1254,3.3269,3.7058,2.8433,2.8787,3.4478,3.8472,3.9548,4.1501,4.2035
Afghanistan,AFG,Gas,GCP,CO2,,,,,,,,0.26014,0.34704,,0.21665,0.43968,0.30045,0.33268,0.40014,0.4755,0.30045,0.51296,0.30096,0.38472,0.18725,0.30411,0.39571,0.61555,0.93186,1.192,1.2018,0.39159,0.43968,0.47998,0.40304,0.38913,0.36274,0.35174,0.33793,0.32243,0.30778,0.28213,0.26381,0.24182,0.2235,0.20885,0.54742,0.46641,0.22717,0.32976,0.3292,0.30778,0.29704,0.27129,0.27114,0.30778,0.30778,0.29678,0.27124,0.28213,0.31864,0.30045,0.29312,0.24557,0.25124,0.23885
Afghanistan,AFG,Gas flaring,GCP,CO2,,,,,,,,,,,0.29744,0.30411,0.3664,0.22301,0.3671,0.30359,0.29312,0.38106,0.28261,0.26747,0.30475,0.29312,0.28213,0.29312,0.31551,0.3301,0.32976,0.22324,0.18686,0.040304,0.025648,0.025697,0.021984,0.021984,0.022039,0.021984,0.021984,0.021984,0.021984,0.021984,0.021984,0.021984,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Oil,GCP,CO2,0.26876,0.29312,0.36274,0.39205,0.47632,0.54227,0.57525,0.55693,0.49682,0.52762,0.67199,0.74746,0.62654,0.70192,0.77091,0.87419,0.88302,0.97462,0.93591,1.1652,0.92526,1.0149,0.99294,1.2201,1.1336,1.5478,1.1395,2.0128,1.821,1.865,1.2714,1.2041,1.0296,1.0479,1.0322,1.0113,0.98562,0.94898,0.94165,0.77677,0.78776,0.76211,0.72744,0.99158,0.90867,1.4473,1.657,1.7331,2.8641,4.5936,5.8331,7.3353,6.5732,5.5913,5.1646,6.6245,5.7941,6.0749,6.6208,6.843,7.2198,7.4196
Afghanistan,AFG,Total fossil fuels and cement,GCP,CO2,0.41388,0.4908,0.68859,0.70674,0.83855,1.0069,1.0912,1.2819,1.2234,0.94123,1.6704,1.8936,1.5303,1.6355,1.9132,2.1214,1.9809,2.3842,2.1533,2.2328,1.7563,1.9785,2.0946,2.52,2.8215,3.5014,3.1336,3.1138,2.8569,2.7649,2.0243,1.9143,1.4821,1.4869,1.4538,1.4173,1.3701,1.3042,1.2785,1.0916,1.0471,1.0691,1.341,1.5596,1.2372,1.8895,2.1593,2.7999,4.2545,6.3919,8.3648,11.8383,10.0353,9.2505,9.1703,9.7911,9.0676,9.868,10.818,11.0816,11.6818,11.8742
Albania,ALB,Cement,GCP,CO2,0.036343,0.058055,0.058149,0.065417,0.061783,0.072563,0.069151,0.10903,0.14901,0.16354,0.17825,0.17839,0.19694,0.25573,0.27837,0.32261,0.34914,0.37499,0.4019,0.42431,0.5029,0.39615,0.41929,0.42372,0.43561,0.43263,0.42963,0.43806,0.3788,0.38676,0.38367,0.30746,0.10266,0.10283,0.051502,0.10318,0.1049,0.051761,0.043552,0.05505,0.093637,,,0.30241,0.30017,0.25649,0.27583,0.46784,0.48389,0.585,0.83774,0.9765,1.0395,1.1286,1.0449,0.95411,0.88047,1.0115,1.0167,1.0482,1.0482,1.0482
Albania,ALB,Coal,GCP,CO2,0.3261,0.32191,0.36274,0.28213,0.33342,0.39505,0.47701,0.52395,0.5899,0.68883,0.89122,0.98928,1.0809,1.1688,1.2101,1.2604,1.2724,1.699,2.1263,2.6808,2.323,2.6441,2.8799,3.1034,3.4002,3.7226,3.708,3.7355,4.0178,4.056,2.4988,1.4803,0.79993,0.59995,0.16854,0.16122,0.11358,0.043968,0.054845,0.11006,0.069531,0.080608,0.084272,0.084272,0.084272,0.073216,0.07321,0.07321,0.10259,0.38838,0.42869,0.53494,0.62654,0.79509,1.0289,0.32243,0.19053,0.27461,0.47266,0.32243,0.33144,0.17441
Albania,ALB,Gas,GCP,CO2,0.084272,0.084137,0.084272,0.084272,0.084272,0.08413,0.10274,0.12824,0.14656,0.16854,0.18705,0.24182,0.27846,0.3664,0.42905,0.55326,0.67101,0.69938,0.67822,0.70681,0.7731,0.80568,0.8647,0.97462,1.0442,0.97096,1.0516,0.45089,0.35559,0.44701,0.46533,0.2748,0.19815,0.1573,0.098928,0.051296,0.043968,0.03664,0.032907,0.029348,0.021957,0.014656,0.025648,0.025648,0.032976,0.021965,0.021963,0.032944,0.014656,0.01832,0.025648,0.029312,0.029312,0.032976,0.058586,0.062288,0.16122,0.16843,0.15022,0.1319,0.13118,0.15025
Albania,ALB,Gas flaring,GCP,CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002256,0.011581,0.0354,0.039875,0.030757,0.013856,0.0044744,0.000188,
